Member_number,Date,itemDescription,Day,Season,Vacation
1120,26/09/2015,pastry,Wed,Winter,Yes
2676,15/08/2015,rolls/buns,Thu,Winter,Yes
1697,21/05/2015,misc. beverages,Fri,Winter,Yes
2507,25/08/2015,root vegetables,Sat,Winter,Yes
4620,11/03/2015,sausage,Sun,Winter,Yes
3365,1/02/2015,canned beer,Mon,Winter,Yes
2978,5/06/2015,ham,Tue,Winter,Yes
2910,28/07/2015,turkey,Wed,Winter,Yes
1061,5/09/2015,whole milk,Thu,Winter,Yes
3276,3/04/2015,whole milk,Fri,Winter,Yes
1326,19/06/2015,packaged fruit/vegetables,Sat,Winter,Yes
3023,28/07/2015,rolls/buns,Sun,Winter,Yes
2185,11/10/2015,ham,Mon,Winter,Yes
3552,16/06/2015,rolls/buns,Tue,Winter,Yes
1967,20/01/2015,other vegetables,Wed,Winter,Yes
4708,20/03/2015,sausage,Thu,Winter,Yes
2874,15/02/2015,sausage,Fri,Winter,Yes
4177,13/04/2015,frankfurter,Sat,Winter,Yes
1663,7/02/2015,rolls/buns,Sun,Winter,Yes
2632,2/03/2015,whole milk,Mon,Winter,Yes
1377,14/03/2015,curd cheese,Tue,Winter,Yes
4162,22/12/2015,red/blush wine,Wed,Winter,Yes
2270,1/07/2015,sausage,Thu,Winter,Yes
4829,3/11/2015,tropical fruit,Fri,Winter,Yes
3811,14/04/2015,red/blush wine,Sat,Winter,Yes
4766,29/09/2015,whole milk,Sun,Winter,Yes
2436,12/04/2015,frankfurter,Mon,Winter,Yes
3860,5/05/2015,whole milk,Tue,Winter,Yes
4875,12/05/2015,frozen potato products,Wed,Winter,Yes
1587,1/07/2015,other vegetables,Thu,Winter,Yes
4038,8/07/2015,citrus fruit,Fri,Winter,Yes
4750,21/09/2015,flour,Sat,Winter,Yes
1199,10/12/2015,sugar,Sun,Winter,Yes
1603,30/09/2015,frozen meals,Mon,Winter,Yes
3111,31/01/2015,chocolate,Tue,Winter,Yes
3894,13/12/2015,root vegetables,Wed,Winter,Yes
1456,18/09/2015,root vegetables,Thu,Winter,Yes
2022,4/03/2015,herbs,Fri,Winter,Yes
2505,30/11/2015,bottled water,Sat,Winter,Yes
4851,20/12/2015,sausage,Sun,Winter,Yes
4293,4/08/2015,coffee,Mon,Winter,Yes
2775,6/11/2015,pork,Tue,Winter,Yes
3693,18/02/2015,berries,Wed,Winter,Yes
1202,22/07/2015,soda,Thu,Winter,Yes
3699,23/08/2015,berries,Fri,Winter,Yes
4152,15/04/2015,fruit/vegetable juice,Sat,Winter,Yes
4155,26/01/2015,citrus fruit,Sun,Winter,Yes
4010,29/12/2015,pork,Mon,Winter,Yes
4389,20/10/2015,detergent,Tue,Winter,Yes
3746,17/08/2015,grapes,Wed,Winter,Yes
2560,17/05/2015,sausage,Thu,Winter,Yes
1503,25/07/2015,chicken,Fri,Winter,Yes
2555,23/12/2015,whole milk,Sat,Winter,Yes
3645,12/12/2015,citrus fruit,Sun,Winter,Yes
3886,11/09/2015,soda,Mon,Winter,Yes
2932,20/03/2015,sausage,Tue,Winter,Yes
1711,18/06/2015,frankfurter,Wed,Winter,Yes
4291,8/12/2015,sausage,Thu,Winter,Yes
1143,25/04/2015,soda,Fri,Winter,Yes
4564,8/07/2015,rolls/buns,Sat,Winter,Yes
3337,14/05/2015,beef,Sun,Winter,Yes
4931,4/05/2015,whole milk,Mon,Winter,Yes
2623,10/10/2015,processed cheese,Tue,Winter,Yes
4581,3/04/2015,tropical fruit,Wed,Winter,Yes
2635,11/06/2015,frankfurter,Thu,Winter,Yes
1095,30/10/2015,packaged fruit/vegetables,Fri,Winter,Yes
2990,23/05/2015,whole milk,Sat,Winter,Yes
2426,5/06/2015,berries,Sun,Winter,Yes
4555,7/11/2015,citrus fruit,Mon,Winter,Yes
3635,4/09/2015,tropical fruit,Tue,Winter,Yes
3058,18/05/2015,hamburger meat,Wed,Winter,Yes
4391,26/03/2015,hamburger meat,Thu,Winter,Yes
1306,23/06/2015,whole milk,Fri,Winter,Yes
1024,10/08/2015,fish,Sat,Winter,Yes
1295,23/07/2015,frankfurter,Sun,Winter,Yes
1661,1/06/2015,packaged fruit/vegetables,Mon,Winter,Yes
4591,15/05/2015,pastry,Tue,Winter,Yes
3169,14/06/2015,other vegetables,Wed,Winter,Yes
3915,21/05/2015,misc. beverages,Thu,Winter,Yes
1127,14/01/2015,frankfurter,Fri,Winter,Yes
4828,8/08/2015,sparkling wine,Sat,Winter,Yes
3683,10/06/2015,specialty bar,Sun,Winter,Yes
1971,18/09/2015,sausage,Mon,Winter,Yes
3014,11/11/2015,curd cheese,Tue,Winter,Yes
3779,15/09/2015,frankfurter,Wed,Winter,Yes
2489,4/05/2015,whole milk,Thu,Winter,Yes
3564,27/06/2015,newspapers,Fri,Winter,Yes
4092,30/09/2015,berries,Sat,Winter,Yes
3221,13/01/2015,curd,Sun,Winter,Yes
1279,6/09/2015,tropical fruit,Mon,Winter,Yes
2581,22/08/2015,soda,Tue,Winter,Yes
2295,25/02/2015,rolls/buns,Wed,Winter,Yes
4760,22/02/2015,canned beer,Thu,Winter,Yes
3649,16/01/2015,canned beer,Fri,Winter,Yes
1075,19/11/2015,frankfurter,Sat,Winter,Yes
3987,19/08/2015,other vegetables,Sun,Winter,Yes
4106,25/08/2015,whole milk,Mon,Winter,Yes
4338,24/06/2015,whole milk,Tue,Winter,Yes
4166,6/11/2015,citrus fruit,Wed,Winter,Yes
1211,10/03/2015,frankfurter,Thu,Winter,Yes
3954,21/01/2015,frankfurter,Fri,Winter,Yes
3928,18/07/2015,butter milk,Sat,Winter,Yes
3827,30/09/2015,hamburger meat,Sun,Winter,Yes
4699,8/02/2015,pasta,Mon,Winter,Yes
4747,8/06/2015,other vegetables,Tue,Winter,Yes
3028,9/06/2015,sausage,Wed,Winter,Yes
2851,16/03/2015,rolls/buns,Thu,Winter,Yes
4417,25/02/2015,grapes,Fri,Winter,Yes
3822,7/03/2015,root vegetables,Sat,Winter,Yes
2288,31/05/2015,coffee,Sun,Winter,Yes
2184,30/06/2015,popcorn,Mon,Winter,Yes
4554,27/08/2015,whole milk,Tue,Winter,Yes
3361,5/03/2015,tropical fruit,Wed,Winter,Yes
2999,17/04/2015,beef,Thu,Winter,Yes
2614,25/06/2015,whole milk,Fri,Winter,Yes
4064,5/06/2015,frankfurter,Sat,Winter,Yes
3567,4/10/2015,tropical fruit,Sun,Winter,Yes
2587,7/05/2015,canned beer,Mon,Winter,Yes
3783,17/06/2015,finished products,Tue,Winter,Yes
1923,14/02/2015,beverages,Wed,Winter,Yes
4835,19/02/2015,hamburger meat,Thu,Winter,Yes
1514,24/08/2015,whole milk,Fri,Winter,Yes
3154,22/06/2015,finished products,Sat,Winter,Yes
1313,25/12/2015,other vegetables,Sun,Winter,Yes
2794,18/07/2015,ham,Mon,Winter,Yes
2359,9/04/2015,other vegetables,Tue,Winter,Yes
2238,9/03/2015,curd,Wed,Winter,Yes
3795,17/01/2015,bottled beer,Thu,Winter,Yes
3724,26/11/2015,curd,Fri,Winter,Yes
1152,5/03/2015,whole milk,Sat,Winter,Yes
4559,16/03/2015,whole milk,Sun,Winter,Yes
3922,27/02/2015,dessert,Mon,Winter,Yes
1709,22/04/2015,sausage,Tue,Winter,Yes
2219,17/04/2015,other vegetables,Wed,Winter,Yes
2206,17/10/2015,ham,Thu,Winter,Yes
1752,6/04/2015,other vegetables,Fri,Winter,Yes
3942,10/11/2015,other vegetables,Sat,Winter,Yes
3296,17/08/2015,soda,Sun,Winter,Yes
2257,5/02/2015,herbs,Mon,Winter,Yes
4313,28/07/2015,frankfurter,Tue,Winter,Yes
2001,21/08/2015,rolls/buns,Wed,Winter,Yes
2449,8/07/2015,curd,Thu,Winter,Yes
4914,12/04/2015,frankfurter,Fri,Winter,Yes
2764,24/07/2015,other vegetables,Sat,Winter,Yes
4187,9/05/2015,dog food,Sun,Winter,Yes
1392,20/04/2015,specialty bar,Mon,Winter,Yes
3427,28/04/2015,curd,Tue,Winter,Yes
1411,20/02/2015,frankfurter,Wed,Winter,Yes
3390,14/11/2015,soda,Thu,Winter,Yes
4787,1/08/2015,beef,Fri,Winter,Yes
3310,17/01/2015,canned beer,Sat,Winter,Yes
1782,10/10/2015,pork,Sun,Winter,Yes
3375,26/04/2015,frankfurter,Mon,Winter,Yes
2760,7/01/2015,sausage,Tue,Winter,Yes
4249,13/09/2015,canned beer,Wed,Winter,Yes
2904,6/06/2015,specialty chocolate,Thu,Winter,Yes
4090,26/02/2015,curd,Fri,Winter,Yes
3060,5/07/2015,canned beer,Sat,Winter,Yes
3768,7/10/2015,whole milk,Sun,Winter,Yes
1232,21/01/2015,rolls/buns,Mon,Winter,Yes
1360,23/10/2015,pork,Tue,Winter,Yes
1107,1/10/2015,citrus fruit,Wed,Winter,Yes
2865,4/11/2015,pot plants,Thu,Winter,Yes
2958,14/06/2015,rolls/buns,Fri,Winter,Yes
2448,12/07/2015,butter,Sat,Winter,Yes
1222,24/09/2015,condensed milk,Sun,Winter,Yes
2943,20/06/2015,sausage,Mon,Winter,Yes
2270,11/08/2015,whole milk,Tue,Winter,Yes
3812,21/07/2015,sausage,Wed,Winter,Yes
1482,22/11/2015,beverages,Thu,Winter,Yes
4720,22/02/2015,beverages,Fri,Winter,Yes
1344,4/09/2015,bottled water,Sat,Winter,Yes
2397,4/10/2015,newspapers,Sun,Winter,Yes
4182,12/05/2015,cleaner,Mon,Winter,Yes
4487,10/07/2015,sausage,Tue,Winter,Yes
3467,24/12/2015,newspapers,Wed,Winter,Yes
2443,15/11/2015,sausage,Thu,Winter,Yes
2749,27/01/2015,misc. beverages,Fri,Winter,Yes
4389,13/04/2015,white wine,Sat,Winter,Yes
1674,4/12/2015,sausage,Sun,Winter,Yes
4262,16/10/2015,meat,Mon,Winter,Yes
2082,7/04/2015,frankfurter,Tue,Winter,Yes
4494,6/01/2015,ice cream,Wed,Winter,Yes
2460,28/09/2015,canned beer,Thu,Winter,Yes
4509,29/11/2015,tropical fruit,Fri,Winter,Yes
2267,3/07/2015,meat,Sat,Winter,Yes
4891,5/09/2015,whole milk,Sun,Winter,Yes
3962,20/09/2015,sausage,Mon,Winter,Yes
4964,18/07/2015,frankfurter,Tue,Winter,Yes
2914,30/11/2015,meat,Wed,Winter,Yes
2808,5/05/2015,root vegetables,Thu,Winter,Yes
1085,15/08/2015,root vegetables,Fri,Winter,Yes
3808,18/08/2015,whole milk,Sat,Winter,Yes
4149,7/01/2015,citrus fruit,Sun,Winter,Yes
2331,5/06/2015,citrus fruit,Mon,Winter,Yes
4475,3/04/2015,other vegetables,Tue,Winter,Yes
2761,25/04/2015,citrus fruit,Wed,Winter,Yes
2620,14/12/2015,sausage,Thu,Winter,Yes
3206,13/10/2015,frankfurter,Fri,Winter,Yes
1226,13/04/2015,hard cheese,Sat,Winter,Yes
1395,7/03/2015,cream cheese ,Sun,Winter,Yes
2465,7/06/2015,turkey,Mon,Winter,Yes
3572,9/07/2015,pork,Tue,Winter,Yes
4387,8/05/2015,whole milk,Wed,Winter,Yes
1555,27/03/2015,rolls/buns,Thu,Winter,Yes
1181,16/11/2015,sausage,Fri,Winter,Yes
2814,11/05/2015,ice cream,Sat,Winter,Yes
2794,16/09/2015,liquor,Sun,Winter,Yes
2912,28/01/2015,pip fruit,Mon,Winter,Yes
4667,12/01/2015,root vegetables,Tue,Winter,Yes
2235,25/10/2015,soda,Wed,Winter,Yes
2353,2/05/2015,soda,Thu,Winter,Yes
3449,8/03/2015,sausage,Fri,Winter,Yes
1058,10/11/2015,root vegetables,Sat,Winter,Yes
1027,17/05/2015,pork,Sun,Winter,Yes
3302,22/05/2015,pork,Mon,Winter,Yes
2229,30/05/2015,chocolate,Tue,Winter,Yes
2188,15/08/2015,fruit/vegetable juice,Wed,Winter,Yes
1547,18/04/2015,pickled vegetables,Thu,Winter,Yes
1649,30/06/2015,bottled water,Fri,Winter,Yes
3254,10/09/2015,frankfurter,Sat,Winter,Yes
2818,7/11/2015,tropical fruit,Sun,Winter,Yes
2703,8/05/2015,canned beer,Mon,Winter,Yes
3332,31/01/2015,root vegetables,Tue,Winter,Yes
2473,1/07/2015,meat,Wed,Winter,Yes
2810,30/12/2015,frankfurter,Thu,Winter,Yes
1033,22/04/2015,tropical fruit,Fri,Winter,Yes
4222,27/05/2015,tropical fruit,Sat,Winter,Yes
3679,21/09/2015,citrus fruit,Sun,Winter,Yes
2212,27/08/2015,hamburger meat,Mon,Winter,Yes
1507,22/06/2015,chicken,Tue,Winter,Yes
2870,21/01/2015,chicken,Wed,Winter,Yes
3429,26/04/2015,frankfurter,Thu,Winter,Yes
4148,9/04/2015,canned beer,Fri,Winter,Yes
2970,30/12/2015,turkey,Sat,Winter,Yes
2013,30/08/2015,packaged fruit/vegetables,Sun,Winter,Yes
3967,30/05/2015,pasta,Mon,Winter,Yes
2885,15/05/2015,citrus fruit,Tue,Winter,Yes
3935,2/07/2015,sausage,Wed,Winter,Yes
3283,1/05/2015,whole milk,Thu,Winter,Yes
3268,6/11/2015,canned beer,Fri,Winter,Yes
3677,30/04/2015,citrus fruit,Sat,Winter,Yes
3495,27/06/2015,liquor (appetizer),Sun,Winter,Yes
1410,4/10/2015,citrus fruit,Mon,Winter,Yes
2440,6/06/2015,sausage,Tue,Winter,Yes
4088,13/01/2015,chicken,Wed,Winter,Yes
2469,23/09/2015,hamburger meat,Thu,Winter,Yes
4229,6/03/2015,sausage,Fri,Winter,Yes
2728,2/08/2015,beef,Sat,Winter,Yes
4694,25/01/2015,citrus fruit,Sun,Winter,Yes
2836,29/12/2015,UHT-milk,Mon,Winter,Yes
1311,12/02/2015,candy,Tue,Winter,Yes
1760,23/01/2015,newspapers,Wed,Winter,Yes
3656,2/03/2015,beef,Thu,Winter,Yes
3720,28/05/2015,sausage,Fri,Winter,Yes
2996,26/09/2015,frankfurter,Sat,Winter,Yes
1949,22/07/2015,canned beer,Sun,Winter,Yes
4498,11/02/2015,bottled beer,Mon,Winter,Yes
2447,28/12/2015,onions,Tue,Winter,Yes
1952,23/03/2015,tropical fruit,Wed,Winter,Yes
4099,27/01/2015,bottled water,Thu,Winter,Yes
1804,12/03/2015,beef,Fri,Winter,Yes
1510,16/05/2015,sausage,Sat,Winter,Yes
2879,18/04/2015,hair spray,Sun,Winter,Yes
4899,12/03/2015,chicken,Mon,Winter,Yes
4326,29/09/2015,pork,Tue,Winter,Yes
1670,17/05/2015,ice cream,Wed,Winter,Yes
1117,24/05/2015,meat,Thu,Winter,Yes
1346,3/04/2015,other vegetables,Fri,Winter,Yes
1178,15/11/2015,bottled water,Sat,Winter,Yes
1649,25/06/2015,tropical fruit,Sun,Winter,Yes
4651,21/06/2015,photo/film,Mon,Winter,Yes
4243,2/04/2015,sausage,Tue,Winter,Yes
4429,21/07/2015,grapes,Wed,Winter,Yes
4645,25/07/2015,domestic eggs,Thu,Winter,Yes
4019,24/07/2015,rolls/buns,Fri,Winter,Yes
4459,26/04/2015,tropical fruit,Sat,Winter,Yes
3006,27/12/2015,chicken,Sun,Winter,Yes
1834,17/09/2015,frankfurter,Mon,Winter,Yes
3236,4/07/2015,berries,Tue,Winter,Yes
1765,11/03/2015,margarine,Wed,Winter,Yes
3855,9/03/2015,tropical fruit,Thu,Winter,Yes
4392,28/11/2015,ham,Fri,Winter,Yes
3330,26/07/2015,hamburger meat,Sat,Winter,Yes
1723,2/09/2015,yogurt,Sun,Winter,Yes
4110,30/03/2015,soda,Mon,Winter,Yes
2600,28/01/2015,yogurt,Tue,Winter,Yes
2946,7/10/2015,soda,Wed,Winter,Yes
2426,8/09/2015,bottled water,Thu,Winter,Yes
4170,3/05/2015,sausage,Fri,Winter,Yes
1109,6/04/2015,citrus fruit,Sat,Winter,Yes
3429,4/01/2015,shopping bags,Sun,Winter,Yes
2055,4/02/2015,newspapers,Mon,Winter,Yes
2480,20/09/2015,frankfurter,Tue,Winter,Yes
2441,30/05/2015,sausage,Wed,Winter,Yes
1054,4/10/2015,frankfurter,Thu,Winter,Yes
4818,11/01/2015,salt,Fri,Winter,Yes
3379,21/01/2015,oil,Sat,Winter,Yes
3939,10/02/2015,curd,Sun,Winter,Yes
1367,5/08/2015,other vegetables,Mon,Winter,Yes
1043,10/01/2015,citrus fruit,Tue,Winter,Yes
2231,17/10/2015,frankfurter,Wed,Winter,Yes
3235,28/12/2015,root vegetables,Thu,Winter,Yes
4554,16/07/2015,tropical fruit,Fri,Winter,Yes
3245,24/01/2015,beef,Sat,Winter,Yes
2996,19/05/2015,berries,Sun,Winter,Yes
2507,5/01/2015,canned beer,Mon,Winter,Yes
4186,25/10/2015,whipped/sour cream,Tue,Winter,Yes
3929,28/04/2015,root vegetables,Wed,Winter,Yes
3760,22/11/2015,whole milk,Thu,Winter,Yes
4928,18/08/2015,beef,Fri,Winter,Yes
4217,18/12/2015,frozen vegetables,Sat,Winter,Yes
1174,11/02/2015,rolls/buns,Sun,Winter,Yes
4103,19/06/2015,whole milk,Mon,Winter,Yes
4408,13/03/2015,whole milk,Tue,Winter,Yes
2588,28/12/2015,citrus fruit,Wed,Winter,Yes
2598,11/11/2015,pastry,Thu,Winter,Yes
1518,11/12/2015,frankfurter,Fri,Winter,Yes
2702,8/04/2015,tropical fruit,Sat,Winter,Yes
1001,20/01/2015,frankfurter,Sun,Winter,Yes
2270,30/09/2015,berries,Mon,Winter,Yes
2838,10/11/2015,rolls/buns,Tue,Winter,Yes
1683,26/05/2015,root vegetables,Wed,Winter,Yes
4040,3/04/2015,yogurt,Thu,Winter,Yes
3897,23/08/2015,other vegetables,Fri,Winter,Yes
2200,11/03/2015,berries,Sat,Winter,Yes
4073,29/01/2015,berries,Sun,Winter,Yes
3700,19/04/2015,other vegetables,Mon,Winter,Yes
3973,10/06/2015,rolls/buns,Tue,Winter,Yes
2715,6/07/2015,ham,Wed,Winter,Yes
3967,23/11/2015,whole milk,Thu,Winter,Yes
4002,3/09/2015,tropical fruit,Fri,Winter,Yes
2962,1/03/2015,bottled water,Sat,Winter,Yes
4340,25/12/2015,butter milk,Sun,Winter,Yes
2092,6/11/2015,newspapers,Mon,Winter,Yes
3143,24/05/2015,coffee,Tue,Winter,Yes
2209,3/10/2015,bottled beer,Wed,Winter,Yes
2816,22/08/2015,onions,Thu,Winter,Yes
2659,1/06/2015,hamburger meat,Fri,Winter,Yes
1588,13/10/2015,sausage,Sat,Winter,Yes
1144,15/10/2015,hard cheese,Sun,Winter,Yes
2166,10/12/2015,sausage,Mon,Winter,Yes
3300,6/10/2015,hamburger meat,Tue,Winter,Yes
3944,3/01/2015,onions,Wed,Winter,Yes
4979,24/04/2015,coffee,Thu,Winter,Yes
2630,21/01/2015,shopping bags,Fri,Winter,Yes
4240,29/04/2015,yogurt,Sat,Winter,Yes
2357,8/07/2015,soda,Sun,Winter,Yes
1743,18/04/2015,sliced cheese,Mon,Winter,Yes
2331,15/02/2015,sausage,Tue,Winter,Yes
1643,28/04/2015,yogurt,Wed,Winter,Yes
1291,20/03/2015,domestic eggs,Thu,Winter,Yes
3675,4/07/2015,whole milk,Fri,Winter,Yes
4134,6/11/2015,meat,Sat,Winter,Yes
1363,21/06/2015,dish cleaner,Sun,Winter,Yes
4212,1/05/2015,other vegetables,Mon,Winter,Yes
1500,21/03/2015,whole milk,Tue,Winter,Yes
2622,1/10/2015,other vegetables,Wed,Winter,Yes
3543,18/03/2015,tropical fruit,Thu,Winter,Yes
2525,24/05/2015,baking powder,Fri,Winter,Yes
1264,12/10/2015,specialty bar,Sat,Winter,Yes
3601,6/07/2015,ice cream,Sun,Winter,Yes
1771,23/03/2015,frankfurter,Mon,Winter,Yes
4694,6/02/2015,canned beer,Tue,Winter,Yes
1122,21/12/2015,bottled water,Wed,Winter,Yes
3507,12/08/2015,other vegetables,Thu,Winter,Yes
4524,26/04/2015,citrus fruit,Fri,Winter,Yes
3612,27/09/2015,sausage,Sat,Winter,Yes
3262,11/06/2015,domestic eggs,Sun,Winter,Yes
1897,25/01/2015,pork,Mon,Winter,Yes
1656,30/10/2015,specialty cheese,Tue,Winter,Yes
3953,10/01/2015,pork,Wed,Winter,Yes
1488,21/06/2015,beef,Thu,Winter,Yes
1652,17/03/2015,other vegetables,Fri,Winter,Yes
4953,16/09/2015,chicken,Sat,Winter,Yes
3445,30/04/2015,soda,Sun,Winter,Yes
3180,15/03/2015,whole milk,Mon,Winter,Yes
4934,6/09/2015,rolls/buns,Tue,Winter,Yes
2980,27/04/2015,bottled beer,Wed,Winter,Yes
2763,13/02/2015,root vegetables,Thu,Winter,Yes
4819,4/03/2015,pastry,Fri,Winter,Yes
3169,2/07/2015,berries,Sat,Winter,Yes
1850,11/03/2015,citrus fruit,Sun,Winter,Yes
4285,29/12/2015,whole milk,Mon,Winter,Yes
4366,13/08/2015,soda,Tue,Winter,Yes
2253,16/06/2015,bottled water,Wed,Winter,Yes
3398,11/03/2015,tropical fruit,Thu,Winter,Yes
2215,22/07/2015,salty snack,Fri,Winter,Yes
3737,3/03/2015,bottled water,Sat,Winter,Yes
2649,28/11/2015,chocolate,Sun,Winter,Yes
3203,7/08/2015,citrus fruit,Mon,Winter,Yes
4261,16/02/2015,bottled water,Tue,Winter,Yes
2435,17/07/2015,onions,Wed,Winter,Yes
2046,21/08/2015,dessert,Thu,Winter,Yes
4267,11/02/2015,beef,Fri,Winter,Yes
1086,28/12/2015,rolls/buns,Sat,Winter,Yes
1992,4/01/2015,beef,Sun,Winter,Yes
3622,26/07/2015,soda,Mon,Winter,Yes
4700,27/06/2015,coffee,Tue,Winter,Yes
2272,16/05/2015,rolls/buns,Wed,Winter,Yes
1663,19/05/2015,pork,Thu,Winter,Yes
2519,3/06/2015,soda,Fri,Winter,Yes
2639,30/10/2015,sausage,Sat,Winter,Yes
1466,19/04/2015,beef,Sun,Winter,Yes
4122,23/10/2015,whole milk,Mon,Winter,Yes
3598,15/04/2015,pork,Tue,Winter,Yes
3097,10/08/2015,berries,Wed,Winter,Yes
1873,19/09/2015,sausage,Thu,Winter,Yes
1537,1/02/2015,bottled water,Fri,Winter,Yes
3960,25/03/2015,tropical fruit,Sat,Winter,Yes
1136,15/06/2015,herbs,Sun,Winter,Yes
2453,21/12/2015,yogurt,Mon,Winter,Yes
1746,15/02/2015,Instant food products,Tue,Winter,Yes
3572,9/06/2015,specialty chocolate,Wed,Winter,Yes
3246,24/06/2015,coffee,Thu,Winter,Yes
3207,26/11/2015,bottled beer,Fri,Winter,Yes
1042,12/02/2015,beef,Sat,Winter,Yes
1176,30/03/2015,whole milk,Sun,Winter,Yes
3054,23/02/2015,frankfurter,Mon,Winter,Yes
4486,2/12/2015,frankfurter,Tue,Winter,Yes
1580,5/12/2015,other vegetables,Wed,Winter,Yes
1623,2/11/2015,frankfurter,Thu,Winter,Yes
4169,24/11/2015,whole milk,Fri,Winter,Yes
2254,24/01/2015,frankfurter,Sat,Winter,Yes
4095,1/11/2015,other vegetables,Sun,Winter,Yes
1264,17/11/2015,bottled water,Mon,Winter,Yes
3375,6/01/2015,pork,Tue,Winter,Yes
3242,23/05/2015,bottled water,Wed,Winter,Yes
2227,7/06/2015,other vegetables,Thu,Winter,Yes
3847,3/12/2015,hamburger meat,Fri,Winter,Yes
3897,31/05/2015,hamburger meat,Sat,Winter,Yes
1799,27/09/2015,shopping bags,Sun,Winter,Yes
2920,26/04/2015,whole milk,Mon,Winter,Yes
3713,31/01/2015,ice cream,Tue,Winter,Yes
4230,5/11/2015,pastry,Wed,Winter,Yes
1455,18/03/2015,ham,Thu,Winter,Yes
3687,18/03/2015,frankfurter,Fri,Winter,Yes
3869,1/08/2015,sausage,Sat,Winter,Yes
2988,14/10/2015,bottled beer,Sun,Winter,Yes
4242,30/03/2015,bottled water,Mon,Winter,Yes
4118,24/12/2015,meat,Tue,Winter,Yes
4996,24/10/2015,dessert,Wed,Winter,Yes
4489,4/03/2015,other vegetables,Thu,Winter,Yes
1199,9/11/2015,beverages,Fri,Winter,Yes
4108,12/05/2015,ham,Sat,Winter,Yes
3484,5/06/2015,specialty bar,Sun,Winter,Yes
1239,31/08/2015,brown bread,Mon,Winter,Yes
4839,19/12/2015,whole milk,Tue,Winter,Yes
4748,7/05/2015,rolls/buns,Wed,Winter,Yes
4426,6/06/2015,bottled beer,Thu,Winter,Yes
3571,11/12/2015,pet care,Fri,Winter,Yes
2852,8/06/2015,citrus fruit,Sat,Winter,Yes
3638,26/05/2015,pork,Sun,Winter,Yes
3635,10/03/2015,other vegetables,Mon,Winter,Yes
2723,7/05/2015,white wine,Tue,Winter,Yes
3495,11/03/2015,whole milk,Wed,Winter,Yes
2813,16/11/2015,pip fruit,Thu,Winter,Yes
2799,2/09/2015,sugar,Fri,Winter,Yes
4723,22/05/2015,tropical fruit,Sat,Winter,Yes
3313,8/04/2015,root vegetables,Sun,Winter,Yes
4748,15/12/2015,soda,Mon,Winter,Yes
2991,16/02/2015,whole milk,Tue,Winter,Yes
1483,1/04/2015,tropical fruit,Wed,Winter,Yes
3950,1/10/2015,white bread,Thu,Winter,Yes
1634,16/01/2015,brown bread,Fri,Winter,Yes
2694,21/11/2015,tropical fruit,Sat,Winter,Yes
2707,18/10/2015,domestic eggs,Sun,Winter,Yes
2813,16/07/2015,coffee,Mon,Winter,Yes
2276,11/01/2015,soda,Tue,Winter,Yes
